KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
1611  296.80   57.99    0.00    0.00  1   7.373   7.373   0.000
1482  286.85   65.32    0.00    0.00  1   7.262   7.262   0.000
1681  243.68   68.72    1.32    0.09  4  11.053   7.751   3.302
4129  284.34   35.83    0.73    0.69  9  11.419   8.154   3.265
1478  288.65   63.08    0.00    0.00  1   8.381   8.381   0.000
3054  237.12   49.15    1.05    0.39  65  15.684   8.108   7.576
4127  284.37   36.06    0.39    0.13  5  11.419   8.595   2.824
1402  274.52   73.82    0.29    0.00  9  10.943   8.979   1.964
1670  257.17   66.90    1.29    0.16  2   8.576   8.220   0.356
3066  236.00   44.40    0.00    0.00  1   8.297   8.297   0.000
1141  277.78   76.83    1.03    0.07  2   9.270   8.908   0.362
1232  263.97   75.03    0.00    0.00  1   8.399   8.399   0.000
3044  232.29   51.13    1.22    0.20  12  13.620   8.018   5.602
1307  261.07   71.95    0.00    0.00  1   8.477   8.477   0.000
1189  262.69   78.48    2.84    0.77  9  11.143   8.174   2.969
1176  272.39   79.41    0.58    0.82  2   8.273   8.127   0.146
1224  268.79   75.76    0.00    0.00  1   8.844   8.844   0.000
1352  252.22   71.94    1.86    0.60  8  11.429   8.543   2.886
3043  232.13   52.00    0.35    0.36  7  13.865   8.655   5.210
1464  293.52   63.06    0.00    0.02  3  10.255   8.904   1.351
4043  285.60   45.44    1.04    0.50  15  13.110   8.495   4.615
1477  289.55   62.62    0.40    0.12  7   8.871   8.078   0.793
1661  269.38   69.11    1.29    0.28  2  10.236   8.425   1.811
4033  291.12   48.83    0.00    0.00  6   9.964   8.366   1.598
1217  271.58   74.75    0.00    0.00  1   8.905   8.905   0.000
1615  295.59   59.91    0.43    0.30  7   9.931   8.679   1.252
1101  273.47   81.97    1.25    0.16  5   9.393   8.284   1.109
1248  254.76   77.46    0.60    0.22  3  11.705   8.721   2.984
3027  225.44   58.36    0.25    0.14  15  14.774   8.031   6.743
3042  228.50   52.56    5.42    0.93  100  14.667   8.234   6.433
